id,MEAS_REF,MEAS_REN,MEAS_NEW,MEAS_NO,REF_Thermische_Sanierung,REF_Heizungstausch
1,1,1,0,0,1,1
2,0,0,1,0,0,0
3,0,1,0,0,0,0
4,1,0,0,0,1,1
5,1,1,0,0,1,1
6,1,0,0,0,1,1
7,1,1,0,0,1,1
8,1,1,0,0,1,1
9,1,1,0,0,1,1
10,1,1,0,0,1,1
11,1,1,0,0,1,1
12,1,1,0,0,1,1
13,1,0,0,0,1,1
14,1,1,0,0,1,1
15,1,0,0,0,1,1
16,1,0,0,0,1,1
17,1,1,0,0,1,1
18,1,1,0,0,1,1
19,1,1,0,0,1,1
20,1,0,0,0,1,1
21,1,0,0,0,1,1
22,1,1,0,0,1,1
23,1,0,0,0,1,1
24,1,1,0,0,1,1
25,1,0,0,0,1,1
26,1,1,0,0,1,1
27,1,1,1,0,1,1
28,1,1,1,0,1,1
29,1,1,1,0,1,1
30,1,0,0,0,0,1
31,1,1,0,0,0,1
32,1,0,0,0,0,1
33,1,0,0,0,0,1
34,1,1,0,0,0,1
35,1,0,0,0,0,1
36,1,0,0,0,0,1
37,1,0,0,0,0,1
38,1,0,0,0,0,1
39,1,1,0,0,0,1
40,1,1,0,0,0,1
41,1,1,0,0,1,0
42,1,1,0,0,1,0
43,1,1,0,0,1,0
44,1,1,0,0,1,0
45,1,1,0,0,1,0
46,1,1,0,0,1,0
47,1,1,0,0,1,0
48,0,0,0,1,0,0
49,0,0,0,1,0,0
50,0,0,0,1,0,0
51,0,0,0,1,0,0
52,0,0,0,1,0,0
53,0,0,0,1,0,0
54,0,0,1,0,0,0
55,0,0,1,0,0,0
56,0,0,1,0,0,0
57,0,0,1,0,0,0
58,0,0,1,0,0,0
59,0,0,1,0,0,0
60,0,0,1,0,0,0
61,0,0,1,0,0,0
62,0,0,1,0,0,0
63,0,0,1,0,0,0
64,1,0,0,0,0,0
65,1,0,1,0,0,0
66,0,1,0,0,0,0
67,0,1,0,0,0,0
68,0,1,0,0,0,0
69,0,0,0,1,0,0
70,1,1,0,0,1,1
71,1,1,0,0,1,1
72,1,1,0,0,1,1
73,1,1,0,0,1,1
74,1,1,0,0,1,1
75,1,1,0,0,0,1
76,1,0,0,0,0,1
