id,REN_1,REN_2,REN_3,REN_4,REN_5,REN_6,REN_7,REN_Year,REN_COUNT
1,0,1,1,0,0,1,,2022,3
2,,,,,,,,,0
3,1,1,0,0,0,1,,vor 2010,3
4,,,,,,,,,0
5,1,1,0,1,1,1,1,vor 2010,6
6,,,,,,,,,0
7,1,1,0,1,1,1,1,2020,6
8,1,1,0,1,1,1,1,2021,6
9,0,0,0,0,1,0,,2021,1
10,0,1,0,0,0,1,0,2016,2
11,0,1,0,0,0,0,,2021,1
12,1,1,0,0,0,0,1,2014,3
13,,,,,,,,,0
14,1,1,0,1,0,1,0,,4
15,,,,,,,,,0
16,,,,,,,,,0
17,0,1,0,1,0,0,0,2018,2
18,0,0,0,0,0,1,,,1
19,1,1,0,0,0,0,,2020,2
20,,,,,,,,,0
21,,,,,,,,,0
22,0,1,0,0,0,1,1,vor 2010,3
23,,,,,,,,,0
24,0,1,0,0,0,0,,2020,1
25,,,,,,,,,0
26,0,1,0,0,0,1,1,2022,3
27,0,0,1,1,1,0,1,,4
28,1,1,0,1,1,1,,2022,5
29,0,1,0,1,1,1,,2019,4
30,,,,,,,,,0
31,1,1,0,0,0,0,0,2022,2
32,,,,,,,,,0
33,,,,,,,,,0
34,0,1,0,0,0,0,,2018,1
35,,,,,,,,,0
36,,,,,,,,,0
37,,,,,,,,,0
38,,,,,,,,,0
39,1,1,0,0,0,0,0,2014,2
40,0,1,0,0,0,0,0,2018,1
41,1,1,0,0,1,1,1,2022,5
42,0,0,0,0,1,1,,2022,2
43,0,1,0,0,0,0,,,1
44,1,1,0,1,1,1,1,,6
45,0,1,0,0,0,1,1,2015,3
46,0,1,0,0,0,0,0,2014,1
47,0,0,0,0,1,1,,2019,2
48,,,,,,,,,0
49,,,,,,,,,0
50,,,,,,,,,0
51,,,,,,,,,0
52,,,,,,,,,0
53,,,,,,,,,0
54,,,,,,,,,0
55,,,,,,,,,0
56,,,,,,,,,0
57,,,,,,,,,0
58,,,,,,,,,0
59,,,,,,,,,0
60,,,,,,,,,0
61,,,,,,,,,0
62,,,,,,,,,0
63,,,,,,,,,0
64,,,,,,,,,0
65,,,,,,,,,0
66,1,1,0,1,0,1,,,4
67,0,1,0,0,0,1,,2014,2
68,0,0,0,0,0,0,0,2010,0
69,,,,,,,,,0
70,0,0,0,0,1,1,0,vor 2010,2
71,1,1,0,0,0,0,0,2015,2
72,0,1,0,0,0,1,1,2020,3
73,1,0,0,0,0,0,1,2022,2
74,1,1,0,0,0,0,,2014,2
75,0,1,0,0,0,1,,2021,2
76,,,,,,,,,0
77,,,,,,,,,0
78,0,1,1,0,0,0,,2017,2
79,1,1,0,0,0,0,,,2
80,0,1,0,0,0,1,0,2012,2
81,0,1,0,0,0,0,,2014,1
82,,,,,,,,,0
83,,,,,,,,,0
84,,,,,,,,,0
85,,,,,,,,,0
86,0,1,1,1,1,1,,2020,5
87,1,1,0,1,0,1,1,2010,5
88,0,1,0,0,0,1,1,2014,3
89,0,0,0,1,0,0,,,1
90,,,,,,,,,0
91,1,1,0,0,1,1,,2015,4
92,0,1,0,0,0,1,,2022,2
93,,,,,,,,,0
94,,,,,,,,,0
95,1,1,0,0,0,1,1,2022,4
96,1,1,0,1,1,1,,2016,5
97,1,1,0,0,0,1,,2022,3
98,,,,,,,,,0
99,,,,,,,,,0
100,,,,,,,,,0
101,,,,,,,,,0
102,0,1,0,0,0,0,0,2019,1
103,,,,,,,,,0
104,,,,,,,,,0
105,0,1,1,1,1,1,1,2022,6
106,1,1,1,0,0,1,,2015,4
107,1,1,0,0,0,0,,2018,2
108,,,,,,,,,0
109,,,,,,,,,0
110,,,,,,,,,0
111,,,,,,,,,0
112,,,,,,,,,0
113,,,,,,,,,0
114,,,,,,,,,0
115,,,,,,,,,0
116,0,1,0,0,0,0,0,2022,1
117,,,,,,,,,0
118,,,,,,,,,0
119,0,1,0,1,1,1,,2020,4
120,0,1,0,0,0,0,0,2015,1
121,0,0,0,0,0,0,0,2022,0
122,1,1,1,1,1,1,,vor 2010,6
123,0,1,0,1,1,1,,2015,4
124,1,1,0,0,0,1,,2019,3
125,0,1,0,0,0,1,1,2015,3
126,1,1,0,1,1,1,1,2018,6
127,1,1,0,0,1,0,,2021,3
128,0,1,0,0,0,1,,2013,2
129,0,1,0,0,0,0,0,2020,1
130,1,1,0,0,0,0,,2022,2
131,,,,,,,,,0
132,,,,,,,,,0
133,,,,,,,,,0
134,1,0,0,0,0,0,1,2019,2
135,,,,,,,,,0
136,,,,,,,,,0
137,,,,,,,,,0
138,0,0,0,0,0,1,,2018,1
139,1,1,0,1,0,0,1,2022,4
140,1,1,0,0,0,0,,2020,2
141,,,,,,,,,0
142,,,,,,,,,0
143,,,,,,,,,0
144,,,,,,,,,0
145,,,,,,,,,0
146,,,,,,,,,0
147,,,,,,,,,0
148,,,,,,,,,0
149,1,0,0,0,0,0,,2019,1
150,0,0,0,0,0,0,,2021,0
151,1,0,0,0,0,0,0,,1
152,1,1,1,0,1,1,,,5
153,1,1,0,0,1,1,,2016,4
154,1,1,1,0,0,1,0,2013,4
155,1,1,0,1,0,1,1,,5
156,1,1,0,0,1,1,0,2014,4
157,1,0,0,0,1,1,,2020,3
158,1,1,0,0,1,1,,,4
159,,,,,,,,,0
160,,,,,,,,,0
161,0,1,0,1,1,1,1,2022,5
162,1,1,1,0,0,1,1,2022,5
163,1,1,0,0,0,1,,2022,3
164,1,1,1,1,0,1,,2020,5
165,1,1,1,1,1,1,,,6
166,,,,,,,,,0
167,1,1,0,0,0,1,,2021,3
168,1,1,1,1,1,1,,2016,6
169,1,1,0,0,0,1,,2021,3
170,,,,,,,,,0
171,0,1,0,0,1,1,,2022,3
172,,,,,,,,,0
173,,,,,,,,,0
174,1,0,0,0,0,1,,2018,2
175,1,1,1,0,0,0,,2016,3
176,0,1,0,0,1,1,,2013,3
177,1,1,0,0,1,1,,2019,4
178,1,1,0,0,1,1,,2018,4
179,,,,,,,,,0
180,0,1,0,1,0,1,1,vor 2010,4
181,1,1,1,0,0,0,0,2017,3
182,0,1,0,0,0,1,,2022,2
183,,,,,,,,,0
184,1,1,1,0,1,1,1,vor 2010,6
185,1,1,1,0,0,0,,2020,3
186,,,,,,,,,0
187,0,1,0,0,1,1,1,2018,4
188,,,,,,,,,0
189,1,1,0,1,1,1,1,,6
190,0,1,1,0,1,1,,2014,4
191,0,1,0,0,0,0,,2022,1
192,1,1,0,0,0,1,0,2012,3
193,0,1,0,0,0,1,,,2
194,0,1,0,0,0,1,1,2020,3
195,0,1,1,1,0,1,0,2010,4
196,1,1,0,0,0,1,,2022,3
197,1,0,0,0,1,0,1,,3
198,1,1,0,0,0,1,1,2018,4
199,0,1,0,0,0,0,,2010,1
200,0,1,0,0,0,0,,2022,1
201,0,1,0,0,1,1,,vor 2010,3
202,1,1,1,0,0,1,,2021,4
203,1,0,1,0,1,0,,,3
204,0,1,0,0,1,1,,2020,3
205,0,1,0,0,1,1,1,2022,4
206,0,1,0,0,0,1,,2013,2
207,,,,,,,,,0
208,,,,,,,,,0
209,1,0,0,0,0,1,1,,3
210,,,,,,,,,0
211,,,,,,,,,0
212,0,1,0,0,1,1,,2017,3
213,,,,,,,,,0
214,,,,,,,,,0
215,,,,,,,,,0
216,,,,,,,,,0
217,0,1,0,1,1,1,,2020,4
218,0,1,1,0,0,1,,2021,3
219,,,,,,,,,0
220,,,,,,,,,0
221,,,,,,,,,0
222,1,1,0,0,0,1,,2021,3
223,,,,,,,,,0
224,,,,,,,,,0
225,,,,,,,,,0
226,,,,,,,,,0
227,,,,,,,,,0
228,,,,,,,,,0
229,,,,,,,,,0
230,,,,,,,,,0
231,,,,,,,,,0
232,,,,,,,,,0
233,0,0,0,0,0,1,,2020,1
234,0,0,1,0,0,1,,2021,2
235,1,1,0,0,0,0,,2022,2
236,,,,,,,,,0
237,,,,,,,,,0
238,1,0,0,0,0,0,,2021,1
239,,,,,,,,,0
240,,,,,,,,,0
241,1,1,1,0,0,1,1,2020,5
242,,,,,,,,,0
243,1,1,1,1,1,1,,2022,6
244,1,1,0,1,0,0,,2022,3
245,1,0,0,0,1,1,,2022,3
246,1,1,0,1,1,1,1,2021,6
247,,,,,,,,,0
248,1,0,0,0,1,0,,2022,2
249,,,,,,,,,0
250,1,0,0,0,0,1,1,2013,3
