id,REF_1,REF_10,REF_11,REF_2,REF_3,REF_4,REF_5,REF_6,REF_7,REF_8,REF_9,REF_Heizungstausch,REF_Thermische_Sanierung,REF_Year,REF_COUNT
1,0,0,,0,1,1,1,0,0,1,1,1,1,2013,5
2,,,,,,,,,,,,0,0,,0
3,,,,,,,,,,,,0,0,,0
4,1,0,,1,1,1,1,0,0,0,0,1,1,2018,5
5,1,1,,1,1,1,1,0,0,1,1,1,1,vor 2010,8
6,1,0,0,1,1,1,1,1,1,0,0,1,1,2017,7
7,1,0,,1,1,1,1,0,0,0,0,1,1,2020,5
8,1,1,,1,1,1,1,1,1,1,1,1,1,2021,10
9,0,0,,1,0,1,1,0,0,0,0,1,1,2021,3
10,0,0,0,1,0,0,1,0,0,0,0,1,1,2021,2
11,0,0,0,1,0,1,1,0,0,1,0,1,1,2023,4
12,1,0,,1,0,0,1,0,0,0,0,1,1,2014,3
13,1,0,0,0,0,1,1,1,0,1,1,1,1,2019,6
14,0,0,0,1,0,1,1,0,0,0,0,1,1,vor 2010,3
15,0,0,1,1,0,1,1,0,1,0,0,1,1,2021,5
16,0,0,,1,1,1,1,0,0,0,0,1,1,2019,4
17,0,1,,1,0,1,1,1,1,0,0,1,1,2015,6
18,0,0,0,0,0,1,1,1,0,0,0,1,1,2018,3
19,0,0,,1,1,0,1,1,0,0,0,1,1,2020,4
20,0,0,,1,0,1,1,0,1,1,0,1,1,2019,5
21,1,0,,1,0,1,1,0,1,1,1,1,1,vor 2010,7
22,0,0,,1,0,0,1,1,1,1,1,1,1,2018,6
23,1,0,0,1,0,0,1,1,1,1,0,1,1,2019,6
24,0,0,,0,0,1,1,0,0,0,0,1,1,2019,2
25,0,0,,1,0,0,1,1,1,0,0,1,1,2014,4
26,1,0,,0,0,1,1,0,0,1,0,1,1,2022,4
27,0,0,,1,1,1,1,0,1,0,0,1,1,2023,5
28,1,0,,1,0,1,1,1,1,0,0,1,1,2020,6
29,0,1,,1,0,0,1,0,1,1,0,1,1,,5
30,0,0,0,0,0,0,1,0,0,0,0,1,0,2016,1
31,0,1,,0,0,0,1,0,1,1,1,1,0,2023,5
32,0,1,0,0,0,0,1,0,0,1,1,1,0,2022,4
33,0,0,,0,0,0,1,0,1,1,1,1,0,2023,4
34,0,0,,0,0,0,1,0,0,0,0,1,0,2014,1
35,0,0,,0,0,0,1,0,0,0,0,1,0,2018,1
36,0,0,,0,0,0,1,1,0,1,1,1,0,2022,4
37,0,0,,0,0,0,1,0,0,1,0,1,0,2022,2
38,0,0,,0,0,0,1,0,1,1,0,1,0,vor 2010,3
39,0,0,0,0,0,0,1,0,0,1,0,1,0,2022,2
40,0,0,0,0,0,0,1,0,0,1,0,1,0,2022,2
41,1,0,0,1,1,1,0,1,0,0,0,0,1,2022,5
42,0,1,,1,0,0,0,0,0,1,1,0,1,2023,4
43,0,0,,1,0,0,0,0,1,1,1,0,1,2017,4
44,1,0,,1,0,1,0,0,0,1,1,0,1,2023,5
45,0,0,,1,1,1,0,0,0,0,0,0,1,2017,3
46,0,1,0,0,0,1,0,0,0,1,1,0,1,2023,4
47,0,0,,0,1,0,0,0,0,1,1,0,1,2022,3
48,,,,,,,,,,,,0,0,,0
49,,,,,,,,,,,,0,0,,0
50,,,,,,,,,,,,0,0,,0
51,,,,,,,,,,,,0,0,,0
52,,,,,,,,,,,,0,0,,0
53,,,,,,,,,,,,0,0,,0
54,,,,,,,,,,,,0,0,,0
55,,,,,,,,,,,,0,0,,0
56,,,,,,,,,,,,0,0,,0
57,,,,,,,,,,,,0,0,,0
58,,,,,,,,,,,,0,0,,0
59,,,,,,,,,,,,0,0,,0
60,,,,,,,,,,,,0,0,,0
61,,,,,,,,,,,,0,0,,0
62,,,,,,,,,,,,0,0,,0
63,,,,,,,,,,,,0,0,,0
64,0,0,0,0,0,0,0,0,1,0,0,0,0,,1
65,0,0,0,0,0,0,0,0,0,1,1,0,0,2023,2
66,,,,,,,,,,,,0,0,,0
67,,,,,,,,,,,,0,0,,0
68,,,,,,,,,,,,0,0,,0
69,,,,,,,,,,,,0,0,,0
70,1,1,,1,1,1,1,0,0,0,0,1,1,2019,6
71,1,0,0,0,0,0,1,0,1,1,0,1,1,2015,4
72,0,0,,0,0,1,1,0,0,0,0,1,1,,2
73,0,1,,1,0,0,1,0,1,1,1,1,1,2022,6
74,1,0,,1,0,1,1,0,0,0,0,1,1,2014,4
75,0,0,,0,0,0,1,1,0,1,1,1,0,2019,4
76,0,0,,0,0,0,1,0,0,0,0,1,0,2019,1
77,0,0,0,0,0,0,1,0,0,1,1,1,0,2018,3
78,0,0,,0,0,0,1,0,0,0,0,1,0,2019,1
79,0,0,,0,0,0,1,0,0,0,0,1,0,2012,1
80,1,0,0,1,0,1,0,0,1,0,0,0,1,2010,4
81,0,0,,1,0,0,0,0,0,0,0,0,1,2022,1
82,,,,,,,,,,,,0,0,,0
83,,,,,,,,,,,,0,0,,0
84,,,,,,,,,,,,0,0,,0
85,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,1
86,1,0,,1,1,1,1,0,0,0,0,1,1,2020,5
87,1,0,,1,1,1,1,1,1,0,0,1,1,2010,7
88,1,0,,1,1,1,1,0,1,1,0,1,1,2018,7
89,1,0,,1,1,1,1,0,0,0,0,1,1,2020,5
90,1,0,,0,1,0,1,0,0,0,0,1,1,2020,3
91,0,1,,1,0,0,1,0,1,1,1,1,1,,6
92,1,0,,1,0,1,1,1,1,0,0,1,1,,6
93,0,0,,0,0,1,1,0,0,0,0,1,1,2019,2
94,0,0,0,1,0,1,1,0,1,0,0,1,1,2017,4
95,0,0,,1,0,1,1,0,1,1,1,1,1,2022,6
96,1,0,1,1,1,0,1,0,0,1,0,1,1,2016,6
97,1,0,,1,0,1,1,0,0,1,0,1,1,2022,5
98,0,0,,1,0,0,1,0,0,0,0,1,1,vor 2010,2
99,0,0,,1,0,0,1,1,0,0,0,1,1,2020,3
100,1,0,0,0,0,1,1,0,0,1,1,1,1,2022,5
101,0,0,0,0,0,0,1,0,0,0,0,1,0,,1
102,0,0,0,0,0,0,1,0,0,1,0,1,0,2022,2
103,0,,,0,0,0,1,0,1,0,0,1,0,2016,2
104,0,1,,0,0,0,1,0,1,1,1,1,0,2017,5
105,0,0,0,1,0,1,0,0,0,0,0,0,1,2022,2
106,1,0,0,1,0,1,0,1,1,1,1,0,1,2022,7
107,0,1,,1,0,1,0,0,1,0,0,0,1,2018,4
108,,,,,,,,,,,,0,0,,0
109,,,,,,,,,,,,0,0,,0
110,,,,,,,,,,,,0,0,,0
111,,,,,,,,,,,,0,0,,0
112,,,,,,,,,,,,0,0,,0
113,,,,,,,,,,,,0,0,,0
114,,,,,,,,,,,,0,0,,0
115,,,,,,,,,,,,0,0,,0
116,0,0,,0,0,0,0,0,1,0,0,0,0,2018,1
117,0,1,,0,0,0,0,1,1,1,0,0,0,2023,4
118,0,0,0,0,0,0,0,0,0,1,1,0,0,2023,2
119,,,,,,,,,,,,0,0,,0
120,,,,,,,,,,,,0,0,,0
121,,,,,,,,,,,,0,0,,0
122,1,0,,1,1,1,1,1,0,0,0,1,1,vor 2010,6
123,1,0,0,1,1,1,1,0,0,0,0,1,1,2023,5
124,1,0,,1,1,1,1,1,0,0,0,1,1,2019,6
125,1,0,0,1,1,1,1,0,0,0,0,1,1,2015,5
126,1,0,0,1,1,1,1,1,0,0,0,1,1,2018,6
127,0,0,,1,0,0,1,0,0,0,0,1,1,2021,2
128,0,0,,1,0,1,1,1,0,0,0,1,1,2013,4
129,0,0,1,1,1,0,1,0,0,0,1,1,1,2020,5
130,1,0,,1,1,0,1,0,0,1,0,1,1,2021,5
131,0,0,,1,0,0,1,1,0,0,0,1,1,2019,3
132,1,0,,1,0,1,1,0,0,1,1,1,1,2016,6
133,0,0,,0,0,0,1,0,0,0,0,1,0,2022,1
134,0,0,,0,0,0,1,0,0,0,0,1,0,2021,1
135,0,1,,0,0,0,1,0,0,1,0,1,0,2023,3
136,0,0,,0,0,0,1,0,1,1,0,1,0,2013,3
137,1,,,1,1,1,0,1,0,1,0,0,1,2021,6
138,0,,,1,0,0,0,0,1,1,1,0,1,2020,4
139,0,0,1,0,0,1,0,1,0,0,0,0,1,2021,3
140,1,0,,1,1,0,0,0,0,0,0,0,1,2020,3
141,,,,,,,,,,,,0,0,,0
142,,,,,,,,,,,,0,0,,0
143,,,,,,,,,,,,0,0,,0
144,,,,,,,,,,,,0,0,,0
145,,,,,,,,,,,,0,0,,0
146,,,,,,,,,,,,0,0,,0
147,,,,,,,,,,,,0,0,,0
148,,,,,,,,,,,,0,0,,0
149,0,0,,0,0,0,0,0,0,0,0,0,0,2019,0
150,0,0,,0,0,0,0,0,1,1,1,0,0,2021,3
151,,,,,,,,,,,,0,0,,0
152,1,1,,1,1,1,1,1,1,0,0,1,1,2023,8
153,1,1,,1,1,1,1,1,0,1,0,1,1,2020,8
154,1,0,0,1,1,1,1,1,0,1,0,1,1,2023,7
155,1,0,,1,1,1,1,0,1,1,0,1,1,2023,7
156,1,0,0,1,1,1,1,1,1,0,0,1,1,2013,7
157,1,0,,1,1,1,1,0,0,1,0,1,1,2020,6
158,1,1,,1,1,1,1,0,0,1,1,1,1,2023,8
159,1,0,0,1,1,1,1,1,0,0,0,1,1,2021,6
160,1,0,0,1,1,1,1,0,1,0,0,1,1,2012,6
161,1,0,1,1,1,1,1,1,1,0,0,1,1,2022,8
162,1,0,,1,1,1,1,1,0,1,0,1,1,2022,7
163,1,0,,1,1,1,1,0,0,0,0,1,1,2022,5
164,1,0,,1,1,1,1,1,1,0,0,1,1,2020,7
165,1,0,,1,1,1,1,1,0,1,0,1,1,,7
166,0,0,0,1,0,1,1,0,0,0,0,1,1,2021,3
167,0,0,,0,0,1,1,0,0,0,0,1,1,2022,2
168,1,1,,1,0,1,1,1,1,0,0,1,1,2016,7
169,0,1,1,1,0,0,1,1,1,1,1,1,1,2023,8
170,0,0,0,1,0,0,1,1,1,1,1,1,1,vor 2010,6
171,0,0,,0,0,1,1,1,0,0,0,1,1,2019,3
172,1,0,,1,0,1,1,1,0,1,0,1,1,2020,6
173,0,0,0,1,0,1,1,1,1,0,0,1,1,vor 2010,5
174,0,0,,0,0,1,1,0,0,0,0,1,1,2022,2
175,0,0,0,1,0,0,1,1,0,0,0,1,1,2013,3
176,0,0,,0,0,1,1,0,1,1,0,1,1,2013,4
177,0,0,1,1,0,1,1,1,0,0,0,1,1,2015,5
178,1,0,,0,0,1,1,0,0,0,0,1,1,2018,3
179,1,0,,1,0,1,1,1,1,1,0,1,1,2015,7
180,1,0,,0,0,1,1,0,0,1,1,1,1,2019,5
181,1,0,0,0,0,1,1,0,0,0,0,1,1,2017,3
182,0,0,,1,1,1,1,1,1,1,1,1,1,2021,8
183,0,,,0,0,1,1,0,0,0,0,1,1,2022,2
184,0,0,,0,0,1,1,1,0,1,1,1,1,2020,5
185,1,0,,1,0,1,1,0,0,0,0,1,1,2020,4
186,0,0,0,1,0,1,1,0,1,1,0,1,1,vor 2010,5
187,0,0,,1,0,1,1,1,1,1,1,1,1,2023,7
188,1,0,0,1,0,1,1,1,0,1,0,1,1,2020,6
189,0,0,,1,1,1,1,0,0,0,0,1,1,2022,4
190,0,1,,0,0,1,1,1,1,0,0,1,1,2020,5
191,0,0,,0,0,1,1,0,1,1,1,1,1,2021,5
192,1,1,,0,1,1,1,1,1,1,0,1,1,2012,8
193,0,0,,0,0,1,1,1,0,0,0,1,1,2022,3
194,0,0,,1,0,1,1,0,0,0,0,1,1,2020,3
195,1,0,,1,0,1,1,1,1,0,0,1,1,vor 2010,6
196,1,0,,1,0,1,1,1,0,1,0,1,1,,6
197,0,,,1,1,1,1,1,1,1,1,1,1,2023,8
