id,TRIG_1,TRIG_1Text,TRIG_2,TRIG_2Text,TRIG_3,TRIG_4
1,3,"Hoher Energieverbrauch, Kälte von unten",1,Auszug der Mutter ins Altersheim,1,4
2,2,Familiengründung - Geburt von Kindern,2,Umzug von Wien in die Oststeiermark,,2
3,2,,3,,2,4
4,1,Haus war renovierungsbedürftig,2,Alte Fassade aus Eternit,3,2
5,1,Hauskauf,1,,1,4
6,1,Energieausweis,2,Werterhalt,1,1
7,1,,3,,1,4
8,1,Kauf Landwirtschaft,2,Unzureichender Gebäudestandard,1,3
9,2,Kauf gebrauchter Immobilie,3,Bessere Kosten-/Komfortbilanz aufgrund geförderter Investitionen,1,3
10,3,,4,,2,4
11,4,Alterbedingt,4,,3,4
12,1,,3,,2,3
13,1,"Bausubstanz war ca. 50 Jahre alt, es war kalt im Haus",2,Klimawandel- Ausbau Olbrenner,1,2
14,3,Energiekrise,1,Inflation,2,3
15,1,Fensteraustausch  wege undichtheit,1,"hoher ölpreis, Alter (21 Jahre)",1,4
16,2,Sanierungsbedarf aufgrund Alter des Gebäudes,2,Schöneres Wohnen,1,3
17,,,,,,
18,2,Wohnklima,5,,3,3
19,1,Energieverbrauch-/Kosten,2,Heizung Alter,1,5
20,3,,3,,2,4
21,1,,1,,1,1
22,2,Altbestand war uralt,2,Persönliche Haltung zu Energiewende,2,3
23,1,Stromverbrauch,2,Wärmedämmung,1,3
24,1,Kaputte Feststoffheizung,1,,1,2
25,2,Energiepreise,2,,4,3
26,1,Stromkasten veraltet,1,Stromkosten,1,4
27,2,Erhalten des Gebäudes,2,Effizienz/Wirtschaftlichkeit/Komfort,1,4
28,1,Heizungstausch wegen einfachere Arbeitsweise,1,Zimmerausbau  Platzmangel,1,2
29,2,Familie,1,Bessere nutzung des gebäudes und aufwertung,3,4
30,2,Defekt der alten Ölheizung,3,,3,3
31,4,,1,,1,3
32,1,Alte ölheizung,1,Energiepreise,4,3
33,1,Klimawandel,1,Ukrainekrieg,3,4
34,4,in die Jahre gekommene Heizung,4,feuchter Keller,1,4
35,2,,2,,3,2
36,1,Raus aus dem Öl,1,,3,3
37,1,Willkür der Energiekonzerne  und fehlende Hilfe seitens der Regierung,1,Ukraine Krieg und unsichere Zeiten.  Zukunft ist zerstört worden,2,4
38,1,Energie sparen,1,Grüner Fußabdruck,1,2
39,1,Förderung,1,,3,3
40,1,Heizungstausch wegen veralteter Anlage,2,,1,4
41,1,Beitrag für Umwelt,1,"Aussicht auf Förderung, jedoch keine erhalten",1,3
42,2,,2,,3,3
43,5,,3,,3,4
44,1,Ukrainekrise,1,teuerung der Energiekosten,1,1
45,1,Erwerb des EFH 2015 (Baujahr ca 1960),3,Undichte Fenster,1,3
46,2,Gespräch mit Freund,1,Umweltgedanke,3,2
47,1,,2,,4,3
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,4,,1,,,3
55,1,Solarthermie und Photovoltaik passt zur Bauausführung,1,geringere Abhängigkeit von Energieversorgern,,2
56,1,Familiengründung,1,Schaffen von Eigentum,,3
57,1,Wohnraumschaffung Familie,2,Umweltverträgliches Bauen,,2
58,2,Familienplanung,4,,,3
59,2,,1,,,3
60,1,,2,,,4
61,1,Unabhängigkeit,1,,,1
62,2,,1,,,2
63,1,Neu Gründung einer Landwirtschaft,1,,,2
64,2,Ölpreisanstieg 2000,1,Strompreis 2022,4,4
65,2,Strompreis durch Krieg unabhängigkeit,1,Klimakrise,4,4
66,2,Haus geerbt,2,,1,3
67,4,Nein,4,Nein,4,4
68,3,Wenn Kinder zuhause ausbauen,4,Um Geld zu sparen,2,5
69,,,,,,
70,1,Das Haus Baujahr 1955 musste  einmal von Grund auf saniert werden.,1,Im Zuge eines Zubaues wurde im Inneren des Hauses fieles mitsaniert.,1,3
71,2,Energiekosten,1,Umweltschutz,1,4
72,2,,3,,2,4
73,1,Der Ölkessel hat sein Lebensende erreicht,1,,1,3
74,2,hoher Heizbedarf,2,,2,2
75,2,Energiepreis,2,Umweltgedanken,2,2
76,1,Defekt der Ölkesselanlage,1,,1,3
77,2,Kosteneinsparung auf Dauer,2,Bequemlichkeit,4,4
78,1,automatisches Heizsystem,2,,2,2
79,3,Ich hatte Geld gespart,1,"Das Wissen um die Möglichkeiten, das Haus energetisch zu verbessern",1,3
80,1,Energie sparen,1,,1,4
81,3,"stärkere Nutzung eines Teils des Hauses, der schlecht wärmegedämmt war",2,,2,4
82,2,Familiengründung,2,,,3
83,3,Kind 1,1,Kind 2,,3
84,1,Verlegung des Lebensmittelpunktes,1,Erwerb von Eigentum,,3
85,2,Kosten sparen,1,,4,4
86,1,Übernahme nach Todesfall,1,,1,2
87,1,3 Kinder :),1,,1,4
88,3,Heizungskosten senken,2,Optik des Hauses,2,4
89,1,Energieverbrsuch,2,Heizkosten,3,3
90,1,Zubau,3,,2,2
91,3,Veraltetes System,2,Teuerung,2,4
92,1,Stand der Technik,1,Ersparnis laufenden Kosten,2,2
93,1,wann wir immer Älter,1,,1,4
94,1,Dach wurde undicht,1,Ölheizung war schon 25 Jahre alt und sanierungsbedürftig,1,3
95,3,Um Erspartes sinnvoll anzuwenden und Energie zu sparen wurde eine Photovoltaikanlage gemacht,1,Heizungstausch um vom Kohle Gebrauch wegzukommen,3,4
96,1,Hausübernahme renovierungsbedarf,1,Platz für Kinderzimmer,1,2
97,2,,1,,1,2
98,1,Erdölkrise 1980,2,,1,4
99,1,,2,,1,4
100,3,Energiepreissituation,1,Blackout,4,4
101,1,Alte Heizung Defekt,1,,1,1
102,1,Gaskessel war am Ende seiner Lebensdauer,1,,3,4
103,1,Funktionsfähigkeit der alten Heizung,3,,2,3
104,1,Kauf Elektroauto,1,"""Raus aus dem Öl""",3,3
105,1,Altbau aus dem Jahr 1970 - Zeitgemäße Sanierung / Erneuerung,2,,1,4
106,2,Blackout für 3 Tage,2,Senkung Heizkosten,2,2
107,2,Umfahrung,2,Energiekriese,2,4
108,,,,,,
109,,,,,,
110,,,,,,
111,1,Familiengründung,2,Langfristig Kosten überschaubar planen,,2
112,3,Wohnraumbedarf,4,,,4
113,2,,5,,,5
114,5,,5,,,5
115,1,,1,,,3
116,1,Wunsch Pool / Umbau Garten Pool Thermosolar,4,Pandemie / Neugestaltung Innenraum,3,4
117,1,Erhöhung der Stromkosten,2,,4,2
118,2,,1,,3,2
119,4,Wasser im Haus,3,Platzgewinn,1,2
120,1,Geld,1,Zeit,2,3
121,2,Kind,5,,5,2
122,3,Haus überschrieben bekommen,1,das Alter des Hauses,2,2
123,1,,1,,1,1
124,1,,1,,1,1
125,5,Nutzerwechsel,2,,1,2
126,1,,1,,1,1
127,1,Veraltet,3,Vorschrift,2,4
128,2,Kauf eines alten Gebäudes,3,,2,2
129,1,Heizkesseldausch von Öl auf Pellets,1,,1,1
130,3,Umweltschutz,1,Kosten für Heizung,2,4
131,1,,1,,4,4
132,1,Hab es meinen Vater versprochen mich um das Haus zu kümmern,1,,1,4
133,1,Klimaschutz,2,Unabhängigkeit von Fossilien Brennstoff,4,4
134,2,,2,,3,4
135,1,Strompreis,1,Elektrofahrzeug,3,1
136,2,,2,,4,2
137,1,Hauskauf,1,,2,1
138,1,Teuerung,1,,2,4
